league,season,team,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
ENG-Premier League,2425,Arsenal,1,37,37,3330,37,33,0.89,118,85,74.6,19,14,4,13,35.1,3,3,0,0,0.0,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,2,37,37,3330,37,49,1.32,146,96,67.1,19,9,9,9,24.3,2,1,1,0,50.0,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,3,36,36,3240,36,43,1.19,167,124,76.6,14,11,11,8,22.2,4,4,0,0,0.0,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,2,37,37,3330,37,56,1.51,201,148,72.6,16,7,14,8,21.6,1,1,0,0,0.0,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,2,37,37,3330,37,58,1.57,145,89,65.5,15,13,9,8,21.6,8,8,0,0,0.0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,2,37,37,3330,37,43,1.16,153,109,75.2,19,9,9,10,27.0,6,5,1,0,16.7,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,1,36,36,3240,36,48,1.33,144,98,67.4,12,13,11,11,30.6,2,1,1,0,50.0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,1,37,37,3330,37,44,1.19,157,111,72.0,10,15,12,11,29.7,2,0,2,0,100.0,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,1,37,37,3330,37,52,1.41,154,103,67.5,15,9,13,5,13.5,3,2,1,0,33.3,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,3,37,37,3330,37,79,2.14,204,127,64.2,4,10,23,2,5.4,6,6,0,0,0.0,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,3,37,37,3330,37,78,2.11,202,126,62.9,6,7,24,3,8.1,4,3,1,0,25.0,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,3,37,37,3330,37,40,1.08,133,94,70.7,25,8,4,14,37.8,2,1,1,0,50.0,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,2,36,36,3240,36,43,1.19,123,82,68.3,19,8,9,12,33.3,4,4,0,0,0.0,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,2,37,37,3330,37,54,1.46,148,95,65.5,10,9,18,9,24.3,4,3,1,0,25.0,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,2,37,37,3330,37,46,1.24,155,110,71.0,20,6,11,13,35.1,2,1,1,0,50.0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,1,37,37,3330,37,45,1.22,163,118,74.2,19,8,10,13,35.1,3,3,0,0,0.0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,3,37,37,3330,37,84,2.27,238,152,67.6,2,6,29,3,8.1,9,7,2,0,22.2,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,4,37,37,3330,37,61,1.65,172,115,65.7,11,5,21,6,16.2,2,2,0,0,0.0,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,2,37,37,3330,37,61,1.65,182,124,68.1,10,10,17,7,18.9,3,3,0,0,0.0,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,3,36,36,3240,36,64,1.78,151,88,62.3,12,5,19,8,22.2,9,7,2,0,22.2,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
