,league,season,team,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
0,ENG-Premier League,2425,Arsenal,25,26.6,37,3330,90,100,37,407,83,266,137,18,196,1.92,67,33,34,0.92,57.6,33.8,23.8,0.64,/en/squads/18bb7c10/Arsenal-Stats
1,ENG-Premier League,2425,Aston Villa,28,27.8,37,3330,90,100,37,407,80,241,165,23,166,1.78,58,49,9,0.24,55.7,47.2,8.5,0.23,/en/squads/8602292d/Aston-Villa-Stats
2,ENG-Premier League,2425,Bournemouth,29,25.9,37,3330,90,100,37,407,83,248,157,19,176,1.43,56,46,10,0.27,62.4,48.2,14.2,0.38,/en/squads/4ba7cbea/Bournemouth-Stats
3,ENG-Premier League,2425,Brentford,28,26.6,37,3330,90,100,37,407,85,269,139,15,194,1.49,65,56,9,0.24,57.6,54.4,3.2,0.09,/en/squads/cd051869/Brentford-Stats
4,ENG-Premier League,2425,Brighton,32,25.7,37,3330,90,100,37,407,82,225,179,18,154,1.57,62,58,4,0.11,56.5,52.5,4.0,0.11,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
5,ENG-Premier League,2425,Chelsea,29,24.5,37,3330,90,100,37,407,83,269,137,19,196,1.78,63,43,20,0.54,66.7,46.1,20.6,0.56,/en/squads/cff3d9bb/Chelsea-Stats
6,ENG-Premier League,2425,Crystal Palace,29,27.0,37,3330,90,100,37,407,83,260,144,18,189,1.41,50,50,0,0.0,58.7,46.9,11.7,0.32,/en/squads/47c64c55/Crystal-Palace-Stats
7,ENG-Premier League,2425,Everton,26,28.8,37,3330,90,100,37,407,84,278,127,19,205,1.22,41,44,-3,-0.08,40.6,45.1,-4.4,-0.12,/en/squads/d3fd31cc/Everton-Stats
8,ENG-Premier League,2425,Fulham,26,28.8,37,3330,90,100,37,407,83,233,174,17,159,1.46,54,52,2,0.05,47.8,44.2,3.5,0.1,/en/squads/fd962109/Fulham-Stats
9,ENG-Premier League,2425,Ipswich Town,32,26.6,37,3330,90,100,37,407,82,231,173,17,160,0.59,35,79,-44,-1.19,33.6,71.6,-38.0,-1.03,/en/squads/b74092de/Ipswich-Town-Stats
10,ENG-Premier League,2425,Leicester City,31,27.4,37,3330,90,100,37,407,82,244,163,19,170,0.68,33,78,-45,-1.22,32.4,70.3,-37.9,-1.02,/en/squads/a2d435b3/Leicester-City-Stats
11,ENG-Premier League,2425,Liverpool,24,28.0,37,3330,90,100,37,407,82,247,160,19,173,2.24,85,40,45,1.22,80.0,36.8,43.2,1.17,/en/squads/822bd0ba/Liverpool-Stats
12,ENG-Premier League,2425,Manchester City,29,27.6,37,3330,90,100,37,407,85,279,127,16,202,1.84,70,44,26,0.7,65.2,46.5,18.7,0.51,/en/squads/b8fd03ef/Manchester-City-Stats
13,ENG-Premier League,2425,Manchester Utd,31,26.3,37,3330,90,100,37,407,81,249,156,23,176,1.05,42,54,-12,-0.32,49.7,53.5,-3.8,-0.1,/en/squads/19538871/Manchester-United-Stats
14,ENG-Premier League,2425,Newcastle Utd,24,28.2,37,3330,90,100,37,407,83,247,159,18,174,1.78,68,46,22,0.59,62.6,44.4,18.2,0.49,/en/squads/b2b47a98/Newcastle-United-Stats
15,ENG-Premier League,2425,Nott'ham Forest,23,27.0,37,3330,90,100,37,407,83,241,164,18,168,1.76,58,45,13,0.35,44.3,47.8,-3.5,-0.1,/en/squads/e4a775cb/Nottingham-Forest-Stats
16,ENG-Premier League,2425,Southampton,36,26.1,37,3330,90,100,37,407,80,230,176,22,157,0.32,25,84,-59,-1.59,32.0,82.5,-50.5,-1.36,/en/squads/33c895d4/Southampton-Stats
17,ENG-Premier League,2425,Tottenham,31,25.8,37,3330,90,100,37,407,82,255,153,22,179,1.03,63,61,2,0.05,56.8,61.1,-4.4,-0.12,/en/squads/361ca564/Tottenham-Hotspur-Stats
18,ENG-Premier League,2425,West Ham,27,28.9,37,3330,90,100,37,407,81,237,167,22,166,1.08,43,61,-18,-0.49,45.9,59.0,-13.1,-0.35,/en/squads/7c21e445/West-Ham-United-Stats
19,ENG-Premier League,2425,Wolves,31,27.7,37,3330,90,100,37,407,83,244,162,18,170,1.11,53,68,-15,-0.41,42.6,56.7,-14.1,-0.38,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
