player,team,Matches Played,Goals,Assists,Shots,Shots on Target,Passes Completed,Pass Completion %,Tackles,Tackles Won,Interceptions,Shots Blocked,Clearances,Touches,Defensive Touches,Midfield Touches,Attacking Touches,Successful Take-Ons,Successful Take-On %,Saves,Save %,Penalty Kicks Saved,Penalty Kick Save %,Minutes Played,Starts,Yellow Cards,Red Cards,Short Passes Completed,Short Pass Completion %,Medium Passes Completed,Medium Pass Completion %,Long Passes Completed,Long Pass Completion %,Shots on Target %,Shots per 90,Goals per Shot,Free Kicks Taken,Carries,Penalties Made
Aaron Cresswell,West Ham,18,0,0,5,0,504,82.6,11,7,8,4,37,687,270,328,94,1,50.0,,,,,824,10,3,0,229,92.0,212,88.0,58,54.2,0.0,0.0,0.0,2,291,0
Aaron Ramsdale,Southampton,30,0,0,0,0,774,63.3,0,0,2,0,10,1314,1286,32,0,0,,120,67.6,2,28.6,2700,30,2,0,209,99.5,302,96.5,257,37.5,,0.0,,0,786,0
Aaron Wan-Bissaka,West Ham,36,2,5,16,5,1472,81.1,70,49,66,11,125,2256,682,969,637,64,52.5,,,,,3154,35,1,0,953,90.2,449,81.6,48,45.7,31.3,0.14,0.13,0,1092,0
Abdoulaye Doucouré,Everton,33,3,2,31,9,725,80.3,48,28,10,6,20,1161,225,538,413,24,53.3,,,,,2564,31,5,1,382,85.7,263,83.2,44,73.3,29.0,0.32,0.1,0,604,0
Abdukodir Khusanov,Manchester City,6,0,0,1,0,360,91.1,5,4,3,4,29,445,205,211,31,0,0.0,,,,,503,6,1,0,160,94.7,191,97.0,6,26.1,0.0,0.0,0.0,0,274,0
Abdul Fatawu Issahaku,Leicester City,11,0,2,13,5,123,62.4,21,15,4,0,12,326,73,114,157,29,42.0,,,,,579,6,0,0,59,72.8,45,76.3,16,48.5,38.5,0.78,0.0,0,217,0
Adam Armstrong,Southampton,20,2,2,25,7,231,80.2,12,3,3,1,8,377,44,143,192,6,42.9,,,,,1248,15,4,0,138,87.3,81,85.3,6,46.2,28.0,0.5,0.08,0,235,0
Adam Lallana,Southampton,14,0,2,3,0,221,85.0,8,5,5,1,5,318,91,155,73,5,41.7,,,,,361,5,4,0,147,89.1,61,91.0,4,44.4,0.0,0.0,0.0,0,178,0
Adam Smith,Bournemouth,25,0,0,3,0,514,75.7,24,12,15,5,49,825,240,394,197,6,37.5,,,,,1590,19,7,0,244,88.7,222,79.6,32,36.0,0.0,0.0,0.0,0,366,0
Adam Webster,Brighton,14,0,0,5,1,636,87.7,10,6,20,9,41,824,389,399,43,1,33.3,,,,,887,11,1,0,242,94.2,333,94.1,53,54.6,20.0,0.1,0.0,0,476,0
Adam Wharton,Crystal Palace,20,0,2,13,5,548,75.6,34,14,20,2,27,872,204,463,212,2,20.0,,,,,1318,16,2,0,208,82.5,258,80.1,70,65.4,38.5,0.34,0.0,0,430,0
Adama Traoré,Fulham,36,2,7,39,12,424,72.2,20,13,1,0,6,801,83,285,455,48,49.5,,,,,1772,18,3,0,236,82.5,143,73.7,30,55.6,30.8,0.61,0.05,0,538,0
Albert Grønbaek,Southampton,4,0,0,2,0,13,72.2,4,1,0,1,1,38,9,14,15,0,0.0,,,,,143,2,0,0,9,81.8,2,50.0,0,,0.0,0.0,0.0,0,18,0
Alejandro Garnacho,Manchester Utd,36,6,2,84,29,649,78.9,30,18,13,0,11,1159,130,364,683,26,29.2,,,,,2199,23,3,0,405,88.4,183,82.1,31,59.6,34.5,1.19,0.07,0,840,0
Alex Iwobi,Fulham,38,9,6,68,29,1150,75.1,44,25,14,1,29,1861,244,748,895,48,49.5,,,,,2981,35,1,0,582,86.7,448,78.0,98,53.3,42.6,0.88,0.13,0,1312,0
Alex McCarthy,Southampton,5,0,0,0,0,117,75.0,0,0,0,0,1,173,173,0,0,0,,24,70.3,0,0.0,450,5,0,0,41,95.3,45,91.8,30,49.2,,0.0,,0,100,0
Alex Palmer,Ipswich Town,13,0,0,0,0,299,70.7,0,0,0,0,12,470,461,10,0,0,,43,59.2,0,0.0,1170,13,2,0,60,96.8,142,100.0,96,44.0,,0.0,,0,210,0
Alex Scott,Bournemouth,20,0,0,15,6,286,83.6,27,14,10,4,15,485,90,257,144,6,23.1,,,,,755,8,3,0,142,89.3,112,92.6,20,57.1,40.0,0.72,0.0,1,247,0
Alexander Isak,Newcastle Utd,34,23,6,95,41,519,75.3,12,5,3,2,17,1025,57,386,596,42,46.2,,,,,2756,34,1,0,306,84.1,163,78.7,26,61.9,43.2,1.34,0.2,3,615,4
Alexis Mac Allister,Liverpool,35,5,5,38,13,1273,83.5,95,58,22,6,29,1860,284,960,637,16,38.1,,,,,2599,30,6,0,658,90.3,493,88.4,89,55.6,34.2,0.45,0.13,1,914,0
Alfie Dorrington,Tottenham,1,0,0,0,0,15,93.8,0,0,0,0,0,16,11,5,0,0,,,,,,14,0,0,0,6,85.7,7,100.0,2,100.0,,0.0,,0,12,0
Alfie Pond,Wolves,1,0,0,0,0,1,100.0,0,0,0,0,0,1,0,1,0,0,,,,,,1,0,0,0,0,,1,100.0,0,,,0.0,,0,1,0
Ali Al Hamadi,Ipswich Town,11,0,0,4,0,25,83.3,1,0,0,0,2,53,6,20,30,4,57.1,,,,,134,0,3,0,20,87.0,5,71.4,0,,0.0,0.0,0.0,0,29,0
Alisson,Liverpool,28,0,0,0,0,794,82.8,1,0,0,0,13,1011,991,20,0,1,100.0,73,72.0,0,0.0,2508,28,0,0,229,98.7,426,98.4,137,47.4,,0.0,,0,658,0
Alphonse Areola,West Ham,26,0,0,0,0,688,69.6,2,2,0,0,15,1049,1038,12,0,0,,77,64.3,0,,2260,25,0,0,153,99.4,334,95.4,198,41.9,,0.0,,0,601,0
Altay Bayındır,Manchester Utd,4,0,0,0,0,92,60.5,0,0,0,0,9,168,166,2,0,0,,8,41.2,0,,360,4,0,0,13,100.0,52,94.5,26,32.1,,0.0,,0,110,0
Amad Diallo,Manchester Utd,26,8,6,47,17,795,83.8,38,31,11,2,19,1207,175,443,607,41,46.6,,,,,1901,20,5,0,493,91.0,227,86.0,40,55.6,36.2,0.8,0.17,0,782,0
Amadou Onana,Aston Villa,26,3,0,17,6,703,87.7,55,30,26,7,41,998,269,586,159,14,70.0,,,,,1617,20,4,0,365,92.9,290,89.2,34,70.8,35.3,0.33,0.18,0,553,0
Andreas Pereira,Fulham,33,2,4,38,8,670,69.1,24,13,8,2,17,1148,169,466,531,14,46.7,,,,,2013,25,7,0,310,83.6,258,79.1,89,40.8,21.1,0.36,0.05,6,578,0
Andrew Robertson,Liverpool,33,0,1,15,2,1559,82.7,39,22,21,4,54,2084,539,940,620,7,38.9,,,,,2482,29,3,1,760,94.3,672,86.3,110,46.4,13.3,0.07,0.0,0,1107,0
