date,home_team,away_team,FTHG_RA,FTAG_RA,HTHG_RA,HTAG_RA,HS_RA,AS_RA,HST_RA,AST_RA,HC_RA,AC_RA,HR_RA,AR_RA,B365H_RA,B365A_RA,BWH_RA,BWA_RA,PSH_RA,PSA_RA,WHH_RA,WHA_RA,MaxH_RA,MaxA_RA,AvgH_RA,AvgA_RA,B365AHH_RA,B365AHA_RA,PAHH_RA,PAHA_RA,MaxAHH_RA,MaxAHA_RA,AvgAHH_RA,AvgAHA_RA,B365CH_RA,B365CA_RA,BWCH_RA,BWCA_RA,PSCH_RA,PSCA_RA,WHCH_RA,WHCA_RA,MaxCH_RA,MaxCA_RA,AvgCH_RA,AvgCA_RA,B365CAHH_RA,B365CAHA_RA,PCAHH_RA,PCAHA_RA,MaxCAHH_RA,MaxCAHA_RA,AvgCAHH_RA,AvgCAHA_RA,B365D_RA_HomeTeam,B365D_RA_AwayTeam,BWD_RA_HomeTeam,BWD_RA_AwayTeam,PSD_RA_HomeTeam,PSD_RA_AwayTeam,WHD_RA_HomeTeam,WHD_RA_AwayTeam,MaxD_RA_HomeTeam,MaxD_RA_AwayTeam,AvgD_RA_HomeTeam,AvgD_RA_AwayTeam,B365CD_RA_HomeTeam,B365CD_RA_AwayTeam,BWCD_RA_HomeTeam,BWCD_RA_AwayTeam,PSCD_RA_HomeTeam,PSCD_RA_AwayTeam,WHCD_RA_HomeTeam,WHCD_RA_AwayTeam,MaxCD_RA_HomeTeam,MaxCD_RA_AwayTeam,AvgCD_RA_HomeTeam,AvgCD_RA_AwayTeam,FTR
28/09/2024 12:30,Newcastle,Man City,1.4,2.6,0.4,1.8,11,19.8,3.8,7.2,5.2,8.8,0.2,0,2.112,1.448,2.09,1.46,2.14,1.462,2.14,1.472,2.19,1.494,2.134,1.46,1.966,1.986,1.962,1.992,1.99,2.004,1.942,1.954,2.18,1.474,2.178,1.504,2.222,1.5,2.184,1.49,2.296,1.536,2.196,1.488,1.988,1.996,1.99,1.974,2.036,2.016,1.962,1.938,3.99,6.6,4.15,6.64,4.128,6.974,4.08,6.2,4.276,7.394,4.118,6.696,3.88,6.08,3.99,6.25,4.03,6.204,3.95,5.88,4.182,7.282,4.002,6.326,D
28/09/2024 15:00,Nott'm Forest,Fulham,1.2,1.4,0.6,1,12.4,16,5.4,5.6,4.4,6,0.2,0,4.8,2.946,4.75,2.914,4.926,2.95,4.986,2.902,5.056,3.056,4.786,2.914,1.922,1.968,1.92,1.966,1.956,2.01,1.912,1.946,4.496,2.876,4.4,2.84,4.95,2.994,4.97,2.998,5.052,3.072,4.722,2.904,1.94,1.986,1.946,1.998,1.988,2.01,1.918,1.954,4.15,3.62,4.26,3.77,4.308,3.73,4.16,3.64,4.514,3.852,4.266,3.716,4.09,3.59,4.14,3.62,4.334,3.69,4.1,3.62,4.398,3.758,4.206,3.644,A
28/09/2024 15:00,Arsenal,Leicester,1.6,1.2,0.8,0.4,10,9.4,4.8,3.2,4,3.2,0.4,0,2.212,4.33,2.242,4.306,2.226,4.494,2.222,4.386,2.312,4.616,2.232,4.382,1.958,1.844,1.942,1.858,1.984,1.874,1.934,1.836,2.366,3.99,2.316,3.896,2.36,4.088,2.342,4.08,2.47,4.29,2.354,4.032,1.972,1.992,1.958,1.988,1.996,2.014,1.938,1.96,4.78,3.896,4.84,3.896,5.138,3.942,4.7,3.886,5.34,4.102,4.93,3.94,4.93,3.81,4.98,3.8,5.144,3.91,4.85,3.8,5.332,3.976,5.02,3.836,H
28/09/2024 15:00,Brentford,West Ham,1.4,1,0.8,0.4,10.2,13.6,5,3.6,3.4,3.8,0,0,6.53,3.85,6.83,3.82,6.9,4.014,7.14,3.996,7.688,4.118,6.96,3.934,2.024,1.93,2.028,1.952,2.08,1.962,2.018,1.918,7.736,4.06,6.72,3.9,7.478,4.176,7.76,4.1,8.186,4.34,7.302,4.038,1.96,1.91,1.944,1.914,2,1.938,1.936,1.882,5.11,3.97,5.31,3.95,5.51,4.086,5.18,3.88,5.896,4.214,5.422,4.036,5.42,3.92,5.26,3.9,5.44,3.99,5.05,3.88,5.746,4.092,5.392,3.946,D
28/09/2024 15:00,Chelsea,Brighton,2.2,1.6,1,0.8,11.8,16.2,5.2,4.6,4.2,6.8,0,0,2.28,3.352,2.27,3.252,2.33,3.298,2.3,3.38,2.388,3.634,2.302,3.306,2.034,1.958,2.044,1.962,2.056,1.994,2.014,1.946,2.26,3.07,2.276,3.104,2.342,3.324,2.252,3.31,2.37,3.41,2.278,3.222,1.944,1.976,1.942,2.004,1.956,2.034,1.906,1.966,3.986,4.25,4.04,4.34,4.052,4.386,3.996,4.3,4.212,4.584,4.05,4.356,3.906,4.18,3.88,4.18,3.964,4.216,3.92,4.07,4.102,4.35,3.946,4.188,H
28/09/2024 15:00,Everton,Crystal Palace,1,0.8,0.6,0,11.8,13.2,3.4,3.8,3.4,4.8,0.2,0,4.252,2.91,4.2,2.878,4.388,2.944,4.32,2.922,4.506,3.004,4.272,2.912,2.012,1.904,2.004,1.888,2.038,1.934,1.988,1.878,4.47,2.73,4.42,2.758,4.684,2.83,4.62,2.82,4.84,2.934,4.548,2.818,1.954,1.91,1.964,1.91,1.992,1.984,1.92,1.91,3.81,3.816,3.94,3.82,3.898,3.874,3.92,3.786,4.102,4.03,3.936,3.866,3.86,3.766,3.89,3.72,4.008,3.778,3.94,3.7,4.116,3.954,3.936,3.784,H
28/09/2024 17:30,Wolves,Liverpool,1,2,1,1.2,10.8,16.2,3.8,6.8,3.8,6.2,0,0,5.936,1.394,5.97,1.398,6.648,1.38,6.76,1.39,7.094,1.422,6.52,1.39,1.944,1.946,1.954,1.93,1.958,1.97,1.918,1.916,6.16,1.388,6.79,1.414,7.062,1.406,7.12,1.406,7.702,1.44,6.92,1.402,1.948,1.934,1.948,1.94,1.988,1.966,1.934,1.906,4.58,5.64,4.65,5.97,4.894,6.158,4.5,5.84,5.086,6.48,4.72,6.016,4.68,5.92,4.76,5.93,4.926,6.382,4.676,5.78,5.078,6.518,4.816,6.098,A
29/09/2024 14:00,Ipswich,Aston Villa,0.6,2,0.4,0.6,7.6,12.4,2.8,4.6,4.6,4.6,0,0,8.64,2.37,8.87,2.35,9.664,2.432,9.76,2.386,11.594,2.504,9.882,2.408,1.892,1.886,1.89,1.888,1.924,1.924,1.88,1.874,8.676,2.494,8.17,2.502,10.298,2.596,10,2.55,10.766,2.624,9.566,2.54,1.938,1.948,1.966,1.944,2.04,1.98,1.946,1.91,5.9,3.96,6.07,4.06,6.242,4.128,5.72,4.03,6.572,4.292,6.022,4.1,5.46,3.79,5.73,3.84,5.722,3.926,5.41,3.906,6.636,4.068,5.76,3.9,D
29/09/2024 16:30,Man United,Tottenham,1,1.8,0.4,1,13.6,17.2,5.6,7,6.8,10.6,0,0,2.386,2.022,2.406,2.018,2.482,2.056,2.456,2.032,2.536,2.1,2.446,2.034,2.026,1.948,2.04,1.954,2.056,1.982,2.002,1.922,2.46,1.958,2.454,1.992,2.482,1.998,2.458,1.954,2.566,2.088,2.454,1.992,1.96,1.988,1.97,1.99,1.988,2.044,1.922,1.97,3.97,4.216,3.99,4.356,4.048,4.322,3.9,4.246,4.17,4.498,4.008,4.32,3.92,4.35,3.86,4.31,3.954,4.494,3.82,4.43,4.078,4.642,3.918,4.402,A
30/09/2024 20:00,Bournemouth,Southampton,1,0.4,0.2,0.2,16.8,11.8,5.6,3.6,6.6,5.2,0,0.2,4.13,4.326,4.14,4.28,4.282,4.424,4.06,4.41,4.43,4.618,4.23,4.388,1.934,1.918,1.936,1.922,1.958,1.948,1.914,1.9,4.25,4.016,4.13,4.056,4.494,4.134,4.26,4.14,4.586,4.432,4.344,4.148,2,1.978,1.998,1.98,2.048,2.048,1.978,1.974,4.15,3.99,4.24,4.08,4.172,4.102,4.22,4.04,4.394,4.268,4.192,4.094,4.1,3.98,4.15,3.99,4.25,4.07,4.16,3.91,4.39,4.198,4.208,4.02,H
