team_x,date,match_id,team_1_Average_goals_scored_last5,team_1_Average_HT_goals_scored_last5,team_1_Average_shots_last5,team_1_Average_shots_on_target_last5,team_1_Average_fouls_last5,team_1_Average_corners_last5,team_1_Average_yellow_cards_last5,team_1_Average_red_cards_last5,team_1_Average_B365_odds_last5,team_1_Average_B365_draw_odds_last5,team_1_Average_BW_odds_last5,team_1_Average_BW_draw_odds_last5,team_1_Average_WH_odds_last5,team_1_Average_WH_draw_odds_last5,team_1_Average_goals_conceded_last5,team_1_Average_HT_goals_conceded_last5,team_1_Average_shots_conceded_last5,team_1_Average_shots_on_target_conceded_last5,team_1_Average_fouls_conceded_last5,team_1_Average_corners_conceded_last5,team_1_Average_yellow_cards_conceded_last5,team_1_Average_red_cards_conceded_last5,team_1_Average_B365_odds_against_last5,team_1_Average_BW_odds_against_last5,team_1_Average_WH_odds_against_last5,team_y,team_2_Average_goals_scored_last5,team_2_Average_HT_goals_scored_last5,team_2_Average_shots_last5,team_2_Average_shots_on_target_last5,team_2_Average_fouls_last5,team_2_Average_corners_last5,team_2_Average_yellow_cards_last5,team_2_Average_red_cards_last5,team_2_Average_B365_odds_last5,team_2_Average_B365_draw_odds_last5,team_2_Average_BW_odds_last5,team_2_Average_BW_draw_odds_last5,team_2_Average_WH_odds_last5,team_2_Average_WH_draw_odds_last5,team_2_Average_goals_conceded_last5,team_2_Average_HT_goals_conceded_last5,team_2_Average_shots_conceded_last5,team_2_Average_shots_on_target_conceded_last5,team_2_Average_fouls_conceded_last5,team_2_Average_corners_conceded_last5,team_2_Average_yellow_cards_conceded_last5,team_2_Average_red_cards_conceded_last5,team_2_Average_B365_odds_against_last5,team_2_Average_BW_odds_against_last5,team_2_Average_WH_odds_against_last5
Arsenal,2004-08-22 12:00:00,19,,,,,,,,,,,,,,,,,,,,,,,,,,Middlesbrough,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,2004-08-25 12:00:00,23,5.0,1.0,16.0,11.0,8.0,7.0,1.0,0.0,1.36,4.33,1.35,4.0,1.33,4.0,3.0,1.0,9.0,5.0,14.0,5.0,1.0,0.0,9.0,9.0,8.0,Blackburn,2.0,0.0,10.0,6.0,18.0,6.0,3.0,0.0,3.0,3.25,3.0,3.2,3.0,3.1,3.0,1.0,13.0,7.0,12.0,3.0,0.0,0.0,2.3,2.2,2.15
Arsenal,2004-09-18 12:00:00,50,4.0,0.5,15.5,10.0,9.5,6.5,1.5,0.0,1.32,4.665,1.3,4.5,1.275,4.5,1.5,0.5,6.0,2.5,16.0,5.0,2.5,0.0,9.5,9.5,8.75,Bolton,1.0,1.0,9.5,4.5,10.5,5.0,0.5,0.0,3.1,3.2,3.1,3.2,2.825,3.1500000000000004,1.5,0.5,16.5,9.0,10.0,8.5,0.5,0.0,2.25,2.1500000000000004,2.2249999999999996
Arsenal,2004-10-02 12:00:00,70,3.3333333333333335,0.6666666666666666,14.0,8.666666666666666,10.666666666666666,5.333333333333333,1.3333333333333333,0.0,1.2966666666666666,4.776666666666666,1.3,4.5,1.25,4.666666666666667,1.6666666666666667,0.3333333333333333,6.666666666666667,3.3333333333333335,16.333333333333332,6.0,2.6666666666666665,0.0,10.666666666666666,9.333333333333334,9.5,Charlton,0.6666666666666666,0.0,5.666666666666667,3.0,12.0,4.0,1.3333333333333333,0.0,3.5100000000000002,3.1666666666666665,3.6833333333333336,3.216666666666667,3.25,3.1999999999999997,3.0,1.3333333333333333,14.666666666666666,8.666666666666666,11.0,9.0,1.3333333333333333,0.3333333333333333,2.1333333333333333,1.95,2.0166666666666666
Arsenal,2004-10-16 12:00:00,80,3.5,0.75,14.25,8.75,11.25,5.5,1.75,0.0,1.2925,4.8325,1.275,4.75,1.2425,4.75,1.25,0.25,6.0,2.5,16.0,4.75,2.25,0.0,10.5,9.875,9.5,Aston Villa,0.75,0.5,12.75,6.5,14.25,7.5,1.5,0.0,2.63,3.2125000000000004,2.5625,3.1500000000000004,2.6125,2.975,1.5,1.0,12.0,5.0,10.5,5.5,1.25,0.0,2.6225,2.5625,2.4775
Arsenal,2004-10-30 12:00:00,100,3.4,1.0,15.0,10.0,11.2,5.6,1.8,0.0,1.294,4.866,1.28,4.7,1.25,4.6659999999999995,1.2,0.4,5.8,2.4,17.2,4.4,2.6,0.0,10.3,9.7,9.3,Southampton,0.2,0.2,9.4,4.0,13.4,5.2,1.2,0.0,5.4826,3.6,4.89,3.4799999999999995,4.9,3.4,1.2,1.0,12.6,5.4,10.6,8.0,0.0,0.0,1.7466000000000002,1.78,1.686
Arsenal,2004-11-20 12:00:00,130,2.8,0.8,14.6,9.6,11.2,5.6,1.8,0.0,1.254,5.3,1.24,5.2,1.216,4.965999999999999,1.0,0.2,5.4,2.2,18.6,4.8,3.2,0.0,11.5,10.5,10.1,West Brom,0.8,0.6,9.8,5.4,14.2,5.2,1.2,0.2,5.2,3.4300000000000006,4.84,3.41,4.434,3.0940000000000003,2.6,1.2,17.0,7.8,11.8,7.0,1.2,0.0,1.8488,1.8,1.8659999999999997
Arsenal,2004-12-04 12:00:00,150,2.4,0.8,13.8,8.6,10.8,6.8,1.4,0.0,1.23,5.6,1.23,5.25,1.204,5.066,1.2,0.2,5.6,2.6,17.4,4.4,2.6,0.0,12.5,11.1,10.6,Birmingham,1.2,0.8,6.6,2.6,14.8,4.6,1.4,0.0,4.2866,3.2399999999999998,4.24,3.3600000000000003,3.6799999999999997,3.18,1.2,0.6,13.6,7.4,13.0,5.4,1.6,0.0,2.0418,1.92,2.0420000000000003
Arsenal,2004-12-12 12:00:00,167,2.6,0.8,13.0,8.2,9.6,7.0,1.2,0.0,1.246,5.5,1.23,5.25,1.22,4.965999999999999,0.8,0.2,4.4,1.8,17.0,3.2,2.2,0.0,11.8,11.1,10.0,Chelsea,2.6,0.6,15.4,9.4,10.8,8.0,1.2,0.0,1.698,3.4200000000000004,1.7,3.37,1.6600000000000001,3.31,0.6,0.2,7.8,4.0,10.8,2.6,0.4,0.0,5.8,5.14,5.12
Arsenal,2004-12-26 12:00:00,181,2.2,1.0,12.0,7.4,9.2,6.6,0.8,0.0,1.49,5.12,1.44,4.779999999999999,1.436,4.566,1.2,0.4,5.6,2.8,17.4,4.2,2.6,0.0,10.36,9.39,8.66,Fulham,1.2,0.4,9.0,5.0,18.4,3.6,1.6,0.0,4.4239999999999995,3.3,4.39,3.2399999999999998,3.96,3.114,1.2,0.4,13.6,8.2,16.0,9.8,0.6,0.0,1.9140000000000001,1.8800000000000001,1.892
