Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365Odds_last10,Average_B365Odds_Against_last10,Average_B365DrawOdds_last10,Average_BWOdds_last10,Average_BWOdds_against_last10,Average_BWDrawOdds_last10,Average_WHOdds_last10,Average_WHOdds_Against_last10
1.9,1.0,18.3,6.9,10.9,6.2,1.8,0.1,1.723,4.71,1.7520000000000002,4.775,1.737,4.585,1.6,0.6,10.0,4.9,11.8,3.9,2.4,0.1,5.525,5.6530000000000005
1.8,0.9,13.0,4.7,10.0,6.8,1.7,0.1,1.454,5.087999999999999,1.4650000000000003,5.115,1.464,4.82,0.7,0.4,7.0,2.6,11.8,1.8,2.0,0.1,7.708,7.69
1.1,0.2,12.6,3.8,11.0,4.4,1.7,0.1,3.4599999999999995,4.3149999999999995,3.569,4.3500000000000005,3.607,4.23,1.9,0.7,11.1,4.2,10.0,4.7,1.8,0.0,3.53,3.4459999999999993
1.6,0.4,11.1,5.0,8.4,4.4,1.7,0.0,4.521,4.253,4.4399999999999995,4.34,4.413,4.200000000000001,1.7,0.8,19.2,6.1,9.3,6.1,1.5,0.1,1.948,1.9420000000000002
1.0,0.5,11.1,4.5,13.3,3.5,1.3,0.2,4.475,4.214999999999999,4.563000000000001,4.245,4.406999999999999,4.05,2.0,0.9,13.1,4.3,10.3,4.7,2.1,0.2,2.033,2.0439999999999996
0.9,0.7,8.3,2.5,13.0,3.4,3.0,0.0,5.15,4.119999999999999,5.292,4.175,5.29,4.013,1.1,0.4,13.4,4.7,10.0,6.2,1.2,0.0,2.0149999999999997,2.012
2.1,0.5,17.7,7.2,13.2,6.4,2.4,0.0,3.009,3.9099999999999993,2.988,3.9200000000000004,2.911,3.8600000000000003,0.7,0.4,15.6,4.8,10.6,6.5,1.8,0.0,2.985,2.964
0.8,0.4,8.2,3.3,10.4,3.1,2.2,0.0,6.87,5.36,7.57,5.285,7.214999999999999,4.984999999999999,2.3,1.0,15.8,5.6,9.9,6.8,1.4,0.1,1.6440000000000001,1.656
2.7,1.6,17.0,6.2,9.0,5.6,1.3,0.0,2.064,4.3549999999999995,2.07,4.355,2.0769999999999995,4.25,1.3,0.6,11.2,4.3,12.7,4.1,2.5,0.1,4.676,4.662999999999999
1.7,1.0,12.0,4.3,10.7,3.4,2.1,0.0,3.720999999999999,3.825,3.601,3.8950000000000005,3.62,3.7900000000000005,1.4,0.4,13.7,5.2,10.5,6.2,2.0,0.1,2.846,2.7840000000000003
1.7,0.4,12.8,4.2,10.2,4.2,2.1,0.1,3.4900000000000007,4.233,3.7009999999999996,4.2780000000000005,3.6049999999999995,4.210000000000001,1.3,0.4,10.1,4.2,10.6,4.6,2.5,0.1,3.1949999999999994,3.135
1.4,0.6,12.3,4.4,11.2,6.7,1.6,0.1,2.9890000000000003,4.075000000000001,2.928,4.1450000000000005,2.8660000000000005,4.0600000000000005,1.5,0.5,12.6,4.4,13.7,4.9,2.0,0.0,3.652,3.749
1.8,1.2,12.0,4.5,10.7,6.6,1.4,0.1,3.053,4.195,2.8840000000000003,4.2139999999999995,2.976,4.1530000000000005,2.2,1.4,14.6,5.7,12.4,6.3,2.2,0.1,2.7739999999999996,2.8560000000000003
1.5,0.5,13.2,5.2,10.8,5.2,1.8,0.0,3.4610000000000007,3.775,3.435,3.783,3.405,3.715,1.1,0.6,12.1,2.9,11.8,5.6,1.6,0.2,2.608,2.603
2.2,1.1,14.5,5.6,6.7,6.3,1.4,0.1,1.687,4.744999999999999,1.686,4.893,1.7129999999999999,4.6000000000000005,1.2,0.4,12.5,4.3,9.8,4.0,1.7,0.0,5.96,6.11
1.2,0.6,11.2,4.4,12.6,3.7,1.7,0.1,4.055,4.125,4.1530000000000005,4.130000000000001,4.037,3.96,2.3,1.2,13.4,4.8,10.4,4.6,2.1,0.1,2.128,2.1480000000000006
0.6,0.3,9.0,2.8,13.3,4.2,2.5,0.1,6.358,4.654999999999999,6.26,4.763,6.25,4.58,2.6,1.5,19.2,7.4,11.6,5.8,1.2,0.0,1.6,1.621
2.9,0.9,22.1,8.0,11.5,8.3,2.4,0.1,1.499,5.5200000000000005,1.513,5.768,1.509,5.502999999999999,1.4,0.6,9.4,3.5,8.0,3.8,2.3,0.0,8.075,8.129999999999999
1.4,0.4,14.5,4.9,13.2,5.1,1.9,0.0,2.495,3.9080000000000004,2.514,4.01,2.5,3.9200000000000004,1.4,0.6,10.2,3.0,12.2,5.4,2.5,0.0,3.558,3.5450000000000004
