match_id,date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,WHH,WHD,WHA
1,14/08/2004 12:00,Aston Villa,Southampton,2,0,1,2,0,H,U Rennie,14,6,5,2,14,9,12,6,0,0,0,0,1.9,3.1,4.33,1.9,3.25,4,1.8,3.1,4
2,14/08/2004 12:00,Blackburn,West Brom,1,1,2,0,1,A,C Foy,12,4,4,2,15,17,4,5,1,0,0,0,1.8,3.1,5,1.8,3.25,4.5,1.9,2.87,4
3,14/08/2004 12:00,Bolton,Charlton,4,1,1,2,0,H,P Dowd,21,9,11,5,10,12,9,5,1,1,0,0,2.25,3.2,3.1,2.1,3.2,3.3,2.15,3.2,2.9
4,14/08/2004 12:00,Man City,Fulham,1,1,2,1,0,H,M Messias,12,4,5,2,14,12,9,4,0,2,0,0,2.1,3.25,3.4,2.1,3.2,3.3,2.05,3.1,3.2
5,14/08/2004 12:00,Middlesbrough,Newcastle,2,2,2,0,1,A,S Bennett,15,11,8,4,16,13,6,7,3,1,0,0,2.3,3.25,3,2.4,3.2,2.7,2.37,3,2.7
6,14/08/2004 12:00,Norwich,Crystal Palace,1,1,2,1,0,H,P Walton,14,14,10,8,14,16,6,11,0,1,0,0,2.1,3.25,3.4,2.1,3.2,3.3,2,3.1,3.3
7,14/08/2004 12:00,Portsmouth,Birmingham,1,1,2,1,1,D,H Webb,14,16,8,11,13,16,8,4,2,4,0,0,2.4,3.2,2.87,2.25,3.2,3,2.3,3.2,2.62
8,14/08/2004 12:00,Tottenham,Liverpool,1,1,2,0,1,A,D Gallagher,14,16,7,8,17,11,3,8,3,1,0,0,3.1,3.2,2.25,3,3.2,2.25,2.75,3.1,2.3
9,15/08/2004 12:00,Chelsea,Man United,1,0,1,1,0,H,G Poll,8,11,5,3,17,8,2,3,0,0,0,0,2.1,3.25,3.4,2.15,3.1,3.2,2,3.2,3.2
10,15/08/2004 12:00,Everton,Arsenal,1,4,3,0,2,A,M Riley,9,18,5,14,14,19,0,7,2,1,0,0,6,3.4,1.61,5,3.4,1.7,5.5,3.1,1.61
11,21/08/2004 12:00,Birmingham,Chelsea,0,1,3,0,0,D,B Knight,9,7,3,3,10,16,8,2,0,0,0,0,4.5,3.2,1.83,4.25,3.4,1.75,4.33,2.87,1.83
