date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
16/08/2024 20:00,Man United,Fulham,1,0,H,0,0,D,14,10,5,2,7,8,0,0,1.6,4.2,5.25,1.6,4.4,5.25,1.63,4.38,5.3,1.65,4.2,5,1.68,4.5,5.5,1.62,4.36,5.15,2.05,1.88,2.07,1.86,2.07,1.89,2.03,1.85,1.67,4.1,5,1.65,4.2,4.8,1.65,4.23,5.28,1.6,4.2,5.5,1.7,4.33,5.5,1.66,4.2,5.02,1.86,2.07,1.83,2.11,1.88,2.11,1.82,2.05
17/08/2024 15:00,Arsenal,Wolves,2,0,H,1,0,H,18,9,6,3,8,2,0,0,1.18,7.5,13,1.2,7.5,13.5,1.16,8.56,16.22,1.18,7,17,1.2,9.1,18,1.18,7.86,15.87,1.93,2,1.88,2,1.97,2,1.9,1.96,1.14,8.5,15,1.16,8.5,18,1.15,9.05,18.76,1.15,8,19,1.17,9.4,21,1.15,8.62,18.11,2.02,1.91,2,1.9,2.05,1.93,1.99,1.87
17/08/2024 15:00,Everton,Brighton,0,3,A,0,1,A,9,10,1,5,1,5,1,0,2.63,3.3,2.63,2.65,3.4,2.6,2.73,3.36,2.71,2.6,3.5,2.7,2.76,3.66,2.78,2.67,3.41,2.68,1.96,1.97,1.96,1.94,1.97,1.97,1.94,1.94,3.1,3.4,2.3,3,3.4,2.37,3.15,3.41,2.4,3.1,3.3,2.4,3.16,3.5,2.45,3.06,3.4,2.38,1.87,2.06,1.86,2.07,1.92,2.1,1.83,2.04
17/08/2024 12:30,Ipswich,Liverpool,0,2,A,0,0,D,7,18,2,5,2,10,0,0,8.5,5.5,1.33,7.5,5.5,1.36,8.18,5.84,1.34,8.5,5.5,1.33,9,6.1,1.37,8.28,5.76,1.34,2.02,1.91,1.99,1.92,2.02,1.95,1.97,1.9,8,5.75,1.33,8,5.75,1.34,8.14,6.09,1.34,8,5.5,1.35,8.57,6.25,1.39,7.87,5.81,1.35,2.05,1.88,2.04,1.9,2.2,2,1.99,1.88
17/08/2024 15:00,Newcastle,Southampton,1,0,H,1,0,H,3,19,1,4,3,12,1,0,1.36,5.25,8,1.35,5.5,7.75,1.35,5.7,8.25,1.35,5.5,8,1.37,5.9,8.6,1.35,5.62,8.1,1.98,1.95,1.94,1.96,1.99,1.98,1.93,1.93,1.4,5,7,1.39,5.25,7.25,1.42,5.3,7.26,1.4,5,7.5,1.44,5.75,8,1.39,5.27,7.33,1.87,2.06,1.88,2.06,1.89,2.1,1.82,2.05
17/08/2024 15:00,Nott'm Forest,Bournemouth,1,1,D,1,0,H,14,13,8,4,2,6,0,0,2.45,3.5,2.8,2.45,3.5,2.8,2.47,3.42,2.97,2.5,3.5,2.8,2.51,3.7,3,2.45,3.49,2.89,1.82,2.11,1.78,2.14,1.83,2.14,1.8,2.09,2.2,3.4,3.25,2.2,3.4,3.25,2.24,3.5,3.37,2.25,3.4,3.25,2.38,3.55,3.37,2.25,3.44,3.23,1.94,1.99,1.94,1.98,2.05,2,1.93,1.93
17/08/2024 17:30,West Ham,Aston Villa,1,2,A,1,1,D,14,15,3,3,5,3,0,0,2.45,3.6,2.75,2.45,3.6,2.7,2.49,3.65,2.8,2.4,3.75,2.75,2.49,3.91,2.87,2.44,3.69,2.79,2.08,1.73,2.16,1.76,2.16,1.82,2.1,1.78,2.4,3.5,2.8,2.5,3.5,2.75,2.54,3.51,2.86,2.5,3.5,2.8,2.56,3.6,2.91,2.47,3.51,2.83,1.83,2.1,1.85,2.09,1.86,2.14,1.82,2.08
18/08/2024 14:00,Brentford,Crystal Palace,2,1,H,1,0,H,9,14,5,6,4,7,0,0,2.4,3.4,2.9,2.4,3.4,2.87,2.5,3.4,2.95,2.45,3.5,2.88,2.52,3.66,2.99,2.46,3.44,2.9,2.11,1.82,2.15,1.78,2.15,1.82,2.1,1.78,2.88,3.2,2.55,2.8,3.2,2.6,2.92,3.24,2.66,3,3.2,2.5,3,3.4,2.72,2.85,3.28,2.62,2.07,1.86,2.06,1.88,2.11,1.88,2.05,1.85
18/08/2024 16:30,Chelsea,Man City,0,2,A,0,1,A,10,11,3,5,4,3,0,0,4.1,3.9,1.8,3.9,4.1,1.82,4.19,3.93,1.84,4,4,1.83,4.3,4.22,1.88,4.05,4,1.83,2.07,1.86,2.06,1.85,2.08,1.86,2.03,1.83,3.6,3.9,1.95,3.6,3.75,1.98,3.86,3.91,1.97,3.5,3.9,2,3.89,3.96,2.05,3.64,3.83,1.98,1.94,1.99,1.96,1.97,1.96,2,1.9,1.96
19/08/2024 20:00,Leicester,Tottenham,1,1,D,0,1,A,7,15,3,7,2,13,0,0,5,4.33,1.62,5,4.33,1.63,5.09,4.39,1.63,5,4.33,1.65,5.3,4.52,1.67,5.01,4.37,1.63,1.86,2.07,1.86,2.05,1.86,2.09,1.83,2.03,4.5,4.2,1.7,4.33,4.2,1.72,4.64,4.33,1.71,4.6,4.2,1.7,4.9,4.4,1.74,4.57,4.23,1.71,2.03,1.9,2.02,1.91,2.06,1.92,1.99,1.87
24/08/2024 17:30,Aston Villa,Arsenal,0,2,A,0,0,D,11,9,3,4,4,1,0,0,4.33,3.8,1.75,4.2,3.9,1.8,4.55,3.98,1.77,4.33,3.9,1.8,4.7,4.1,1.84,4.41,3.92,1.78,1.9,2,1.9,2,1.91,2.02,1.86,1.98,4.5,4,1.73,4.5,3.9,1.75,4.85,4.04,1.74,4.8,4,1.7,4.85,4.16,1.78,4.66,4.02,1.74,1.96,1.97,1.98,1.94,2,1.99,1.94,1.92
24/08/2024 12:30,Brighton,Man United,2,1,H,1,0,H,14,11,5,4,4,4,0,0,2.5,3.7,2.63,2.5,3.75,2.6,2.51,3.66,2.76,2.5,3.7,2.7,2.54,3.87,2.79,2.5,3.72,2.69,1.86,2.04,1.86,2.05,1.91,2.06,1.88,2.01,2.3,3.8,2.88,2.3,3.7,2.85,2.42,3.76,2.86,2.38,3.6,2.88,2.57,3.9,2.96,2.41,3.72,2.81,2.07,1.86,2.12,1.83,2.2,1.86,2.09,1.79
24/08/2024 15:00,Crystal Palace,West Ham,0,2,A,0,0,D,14,18,2,3,3,3,0,0,2.15,3.6,3.2,2.15,3.5,3.2,2.17,3.68,3.33,2.2,3.5,3.3,2.21,3.76,3.36,2.17,3.63,3.25,1.91,1.99,1.88,2.02,1.94,2.02,1.88,1.98,1.95,3.9,3.7,1.93,3.7,3.75,1.97,3.84,3.84,1.95,3.7,3.8,2.15,3.96,3.93,1.98,3.78,3.72,1.98,1.95,1.98,1.94,2.13,1.98,1.99,1.88
24/08/2024 15:00,Fulham,Leicester,2,1,H,1,1,D,18,10,6,4,7,5,0,0,1.8,3.75,4.2,1.8,3.75,4.33,1.84,3.67,4.56,1.83,3.7,4.33,1.9,3.89,4.7,1.83,3.73,4.38,2.03,1.78,2.1,1.81,2.12,1.84,2.06,1.8,1.85,3.75,4.1,1.9,3.6,4,1.88,3.81,4.26,1.91,3.6,4.2,1.91,3.9,4.7,1.88,3.71,4.21,1.88,2.05,1.88,2.04,1.91,2.06,1.87,2
24/08/2024 15:00,Man City,Ipswich,4,1,H,3,1,H,14,1,5,1,10,1,0,0,1.08,12,21,1.1,12.5,23,1.08,13.21,25.71,1.1,11,26,1.1,14,34,1.09,12.17,26.97,2.04,1.86,2.05,1.85,2.07,1.91,2.01,1.85,1.1,10,23,1.11,11.5,21,1.1,11,31,1.1,10,29,1.12,15,32,1.09,11.44,27.5,1.9,2.03,1.82,2.07,1.93,2.13,1.84,2.04
24/08/2024 15:00,Southampton,Nott'm Forest,0,1,A,0,0,D,5,23,1,8,4,10,0,0,2.55,3.3,2.8,2.5,3.4,2.8,2.59,3.28,2.92,2.5,3.4,2.88,2.66,3.42,2.92,2.57,3.32,2.84,1.83,2.07,1.84,2.08,1.85,2.09,1.83,2.05,2.3,3.5,3,2.3,3.5,3.1,2.33,3.54,3.11,2.3,3.4,3.2,2.58,3.59,3.2,2.36,3.48,3.04,2.03,1.9,2.03,1.88,2.19,1.91,2.03,1.84
24/08/2024 15:00,Tottenham,Everton,4,0,H,2,0,H,13,10,7,1,12,5,0,0,1.44,4.75,6.5,1.43,5,6.75,1.45,4.87,7.03,1.44,4.8,7,1.49,5.1,7.3,1.44,4.95,6.75,1.95,1.95,1.98,1.93,1.98,1.98,1.94,1.91,1.36,5.25,7.5,1.37,5.25,7.75,1.37,5.66,8,1.35,5.5,8.5,1.41,5.73,8.5,1.37,5.39,7.91,1.99,1.94,2.01,1.92,2.11,1.97,2,1.88
25/08/2024 14:00,Bournemouth,Newcastle,1,1,D,1,0,H,16,14,4,5,8,9,0,0,2.9,3.8,2.2,3,3.9,2.2,3.05,3.73,2.28,3,3.8,2.25,3.06,3.95,2.32,2.99,3.8,2.25,1.92,1.98,1.91,2,1.95,2,1.9,1.94,2.55,3.6,2.6,2.5,3.7,2.65,2.63,3.66,2.68,2.6,3.6,2.62,2.68,3.75,2.74,2.57,3.65,2.64,1.93,2,1.94,1.98,1.94,2.04,1.92,1.97
25/08/2024 16:30,Liverpool,Brentford,2,0,H,1,0,H,19,8,8,2,9,4,0,0,1.27,5.75,11,1.25,6.75,10.5,1.25,7.05,10.11,1.25,6.5,11,1.28,7.5,11.5,1.25,6.78,10.37,1.89,2.01,1.89,1.99,1.89,2.05,1.85,2,1.2,7,13,1.24,7,11,1.22,7.75,12.5,1.22,6.5,13,1.25,7.75,13.5,1.22,7.19,11.82,2.06,1.87,2.07,1.85,2.07,1.91,2.03,1.85
25/08/2024 14:00,Wolves,Chelsea,2,6,A,2,2,D,12,14,4,8,5,5,0,0,4.33,4,1.75,4.4,4,1.75,4.46,4.03,1.78,4.4,4,1.75,4.6,4.17,1.82,4.37,4,1.77,1.89,2.01,1.9,2.01,1.91,2.02,1.87,1.98,3.75,3.8,1.9,3.75,3.8,1.9,3.91,3.94,1.93,3.9,3.8,1.91,4.1,3.99,1.93,3.89,3.89,1.91,1.99,1.94,1.99,1.93,2.02,1.94,1.97,1.9
31/08/2024 12:30,Arsenal,Brighton,1,1,D,1,0,H,11,22,7,4,3,7,1,0,1.33,5.5,8.5,1.36,5.5,8,1.34,5.87,8.1,1.33,5.5,8.5,1.37,6,9,1.35,5.66,8.11,2.01,1.89,2.02,1.89,2.05,1.92,2,1.86,1.36,5.25,7.5,1.37,5.5,7.5,1.37,5.48,8.43,1.36,5,8.5,1.4,5.6,8.6,1.37,5.37,8,2.08,1.85,2.09,1.85,2.12,1.86,2.05,1.83
31/08/2024 15:00,Brentford,Southampton,3,1,H,1,0,H,20,18,7,6,2,8,0,0,1.75,3.9,4.33,1.75,3.9,4.4,1.79,3.9,4.51,1.75,3.9,4.6,1.82,4.12,4.7,1.77,3.97,4.46,2.01,1.89,2,1.9,2.04,1.92,1.97,1.89,1.8,3.9,4.33,1.8,3.8,4.33,1.82,3.91,4.46,1.8,3.75,4.5,1.83,3.95,4.59,1.8,3.86,4.42,2.08,1.85,2.09,1.84,2.09,1.9,2.02,1.85
31/08/2024 15:00,Everton,Bournemouth,2,3,A,0,0,D,18,17,8,7,8,4,0,0,2.75,3.4,2.55,2.65,3.4,2.6,2.82,3.38,2.62,2.75,3.4,2.6,2.85,3.5,2.64,2.78,3.4,2.59,2.01,1.89,2.03,1.88,2.03,1.9,2,1.87,3,3.4,2.35,2.85,3.4,2.45,3.14,3.45,2.39,2.9,3.4,2.45,3.14,3.55,2.52,2.96,3.45,2.43,1.85,2.08,1.87,2.06,1.87,2.14,1.81,2.06
31/08/2024 15:00,Ipswich,Fulham,1,1,D,1,1,D,11,9,4,4,8,6,0,0,3,3.5,2.3,3.1,3.5,2.25,3.14,3.53,2.32,3.1,3.5,2.3,3.2,3.66,2.38,3.1,3.5,2.31,1.87,2.03,1.89,2.01,1.91,2.08,1.86,1.98,3,3.4,2.38,2.95,3.4,2.4,3.07,3.43,2.43,3,3.4,2.38,3.2,3.5,2.45,3.03,3.41,2.4,1.82,2.11,1.83,2.11,1.86,2.11,1.81,2.06
