team,date,match_id,home_away,Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_B365_odds_last10,Average_B365_draw_odds_last10,Average_BW_odds_last10,Average_BW_draw_odds_last10,Average_WH_odds_last10,Average_WH_draw_odds_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365_odds_against_last10,Average_BW_odds_against_last10,Average_WH_odds_against_last10
Arsenal,2004-08-15 12:00:00,10,A,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,2004-08-22 12:00:00,19,H,4.0,2.0,18.0,14.0,19.0,7.0,1.0,0.0,1.61,3.4,1.7,3.4,1.61,3.1,1.0,0.0,9.0,5.0,14.0,0.0,2.0,0.0,6.0,5.0,5.5
Arsenal,2004-08-25 12:00:00,23,H,4.5,1.5,17.0,12.5,13.5,7.0,1.0,0.0,1.485,3.865,1.525,3.7,1.4700000000000002,3.55,2.0,0.5,9.0,5.0,14.0,2.5,1.5,0.0,7.5,7.0,6.75
Arsenal,2004-08-28 12:00:00,35,A,4.0,1.0,16.333333333333332,11.333333333333334,12.666666666666666,6.666666666666667,1.3333333333333333,0.0,1.4166666666666667,4.243333333333333,1.4333333333333333,4.133333333333334,1.3866666666666667,4.033333333333333,1.3333333333333333,0.3333333333333333,7.0,3.3333333333333335,15.333333333333334,3.3333333333333335,2.3333333333333335,0.0,8.333333333333334,8.0,7.666666666666667
Arsenal,2004-09-11 12:00:00,42,A,4.0,1.5,16.75,12.25,10.75,7.5,1.25,0.0,1.4025,4.265000000000001,1.4375,4.0375,1.3725,4.025,1.25,0.25,6.5,3.75,15.25,3.5,2.0,0.0,8.5,7.75,7.75
Arsenal,2004-09-18 12:00:00,50,H,3.8,1.2,15.8,11.2,10.6,6.8,1.4,0.0,1.4286,4.132,1.4300000000000002,4.029999999999999,1.386,3.9200000000000004,1.0,0.2,7.0,4.4,15.4,4.6,2.0,0.0,8.2,7.65,7.6
Arsenal,2004-09-25 12:00:00,64,A,3.5,1.1666666666666667,15.0,10.333333333333334,11.0,6.166666666666667,1.3333333333333333,0.0,1.3988333333333334,4.276666666666666,1.4083333333333332,4.108333333333333,1.3550000000000002,4.1000000000000005,1.1666666666666667,0.16666666666666666,7.166666666666667,4.5,15.666666666666666,5.166666666666667,2.1666666666666665,0.0,9.0,7.875,8.166666666666666
Arsenal,2004-10-02 12:00:00,70,H,3.142857142857143,1.1428571428571428,14.571428571428571,10.142857142857142,10.571428571428571,5.428571428571429,1.1428571428571428,0.0,1.4232857142857145,4.1657142857142855,1.4285714285714286,4.0285714285714285,1.375714285714286,4.0,1.0,0.14285714285714285,7.714285714285714,4.857142857142857,15.714285714285714,5.571428571428571,2.0,0.0,8.642857142857142,7.557142857142857,7.857142857142857
Arsenal,2004-10-16 12:00:00,80,H,3.25,1.125,14.625,10.0,10.875,5.5,1.375,0.0,1.405375,4.27,1.4,4.2125,1.35625,4.125,0.875,0.125,7.25,4.25,15.625,5.0,1.875,0.0,8.8125,8.05,8.0625
Arsenal,2004-10-24 12:00:00,96,A,3.2222222222222223,1.2222222222222223,15.0,10.555555555555555,10.88888888888889,5.555555555555555,1.4444444444444444,0.0,1.3936666666666668,4.351111111111111,1.3888888888888888,4.2444444444444445,1.347777777777778,4.147777777777778,0.8888888888888888,0.2222222222222222,7.0,4.0,16.333333333333332,4.777777777777778,2.111111111111111,0.0,8.88888888888889,8.155555555555557,8.11111111111111
