team,date,match_id,team_2_Average_goals_scored_last5,team_2_Average_HT_goals_scored_last5,team_2_Average_shots_last5,team_2_Average_shots_on_target_last5,team_2_Average_fouls_last5,team_2_Average_corners_last5,team_2_Average_yellow_cards_last5,team_2_Average_red_cards_last5,team_2_Average_B365_odds_last5,team_2_Average_B365_draw_odds_last5,team_2_Average_BW_odds_last5,team_2_Average_BW_draw_odds_last5,team_2_Average_WH_odds_last5,team_2_Average_WH_draw_odds_last5,team_2_Average_goals_conceded_last5,team_2_Average_HT_goals_conceded_last5,team_2_Average_shots_conceded_last5,team_2_Average_shots_on_target_conceded_last5,team_2_Average_fouls_conceded_last5,team_2_Average_corners_conceded_last5,team_2_Average_yellow_cards_conceded_last5,team_2_Average_red_cards_conceded_last5,team_2_Average_B365_odds_against_last5,team_2_Average_BW_odds_against_last5,team_2_Average_WH_odds_against_last5
Arsenal,2004-08-15 12:00:00,10,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,2004-08-28 12:00:00,35,4.0,2.0,18.0,14.0,19.0,7.0,1.0,0.0,1.61,3.4,1.7,3.4,1.61,3.1,1.0,0.0,9.0,5.0,14.0,0.0,2.0,0.0,6.0,5.0,5.5
Arsenal,2004-09-11 12:00:00,42,4.0,2.5,18.0,14.5,12.0,8.5,1.0,0.0,1.485,3.865,1.575,3.575,1.4700000000000002,3.55,1.0,0.0,7.0,5.0,14.5,2.0,1.5,0.0,7.5,6.0,6.75
Arsenal,2004-09-25 12:00:00,64,3.6666666666666665,1.6666666666666667,16.0,12.0,11.333333333333334,7.0,1.3333333333333333,0.0,1.5010000000000001,3.776666666666667,1.5166666666666666,3.716666666666667,1.46,3.533333333333333,0.6666666666666666,0.0,7.666666666666667,5.666666666666667,15.0,4.333333333333333,1.6666666666666667,0.0,7.333333333333333,6.416666666666667,6.833333333333333
Arsenal,2004-10-24 12:00:00,96,3.0,1.5,15.0,11.25,10.5,5.5,1.0,0.0,1.51825,3.7075,1.525,3.675,1.47,3.5,0.5,0.0,8.5,6.0,15.25,5.25,1.5,0.0,7.125,6.225,6.625
Arsenal,2004-11-06 12:00:00,112,2.4,1.2,14.4,10.2,13.0,5.0,1.4,0.0,1.7646000000000002,3.5660000000000003,1.7600000000000002,3.5700000000000003,1.6960000000000002,3.4200000000000004,0.8,0.0,9.0,5.8,16.2,4.8,1.6,0.0,6.224,5.46,5.779999999999999
Arsenal,2004-11-13 12:00:00,127,1.8,0.8,14.6,10.0,10.8,5.2,1.4,0.0,1.7306000000000001,3.686,1.7,3.69,1.6460000000000001,3.6,0.8,0.0,7.8,5.0,15.4,5.0,1.2,0.0,6.523999999999999,5.91,6.08
Arsenal,2004-11-28 12:00:00,147,2.0,0.4,13.0,8.2,11.6,4.0,1.2,0.0,1.8026,3.46,1.73,3.6199999999999997,1.7120000000000002,3.4200000000000004,1.4,0.2,8.8,5.4,16.4,4.8,1.6,0.0,5.824,5.61,5.4799999999999995
Arsenal,2004-12-19 12:00:00,179,1.6,0.4,11.2,7.2,12.8,3.2,1.2,0.0,1.916,3.3899999999999997,1.8699999999999999,3.46,1.844,3.34,1.8,0.4,9.2,5.4,14.4,4.2,1.2,0.0,5.104,4.8,4.7
Arsenal,2004-12-29 12:00:00,200,1.6,0.2,11.4,6.4,13.0,4.4,1.4,0.0,1.916,3.3899999999999997,1.8800000000000001,3.45,1.85,3.3600000000000003,1.8,0.4,9.2,5.0,13.8,3.6,1.0,0.0,5.104,4.720000000000001,4.6
Arsenal,2005-01-01 12:00:00,203,1.8,0.4,11.6,6.4,12.6,5.4,1.6,0.0,1.746,3.4899999999999998,1.7,3.46,1.69,3.4,1.4,0.4,8.8,5.0,11.8,3.8,0.8,0.0,5.33,5.1,4.87
Arsenal,2005-01-15 12:00:00,222,2.2,0.6,9.4,4.8,14.0,4.2,1.6,0.0,1.78,3.37,1.7100000000000002,3.4,1.732,3.2600000000000002,1.4,0.6,9.6,5.6,12.4,3.8,1.0,0.0,5.029999999999999,5.05,4.57
Arsenal,2005-02-05 12:00:00,251,1.2,0.4,9.6,5.0,13.8,4.8,1.8,0.0,1.75,3.4300000000000006,1.69,3.4299999999999997,1.7,3.3200000000000003,0.8,0.6,9.4,4.8,10.0,4.8,0.8,0.0,5.2299999999999995,5.25,4.7700000000000005
Arsenal,2005-02-26 12:00:00,272,1.6,1.0,12.0,5.8,12.8,5.2,1.4,0.0,1.69,3.46,1.6,3.47,1.6019999999999999,3.3599999999999994,0.6,0.4,8.2,3.6,11.4,4.6,1.2,0.0,5.45,5.61,5.15
Arsenal,2005-03-19 12:00:00,290,1.6,1.2,12.8,7.2,13.6,4.8,1.4,0.2,1.69,3.46,1.58,3.47,1.6019999999999999,3.3599999999999994,0.8,0.4,8.0,3.2,10.6,4.2,1.4,0.2,5.45,5.91,5.15
Arsenal,2005-04-09 12:00:00,314,1.6,1.2,12.2,7.6,11.0,4.4,0.8,0.2,1.6700000000000004,3.4400000000000004,1.55,3.5100000000000002,1.562,3.38,0.8,0.4,8.0,2.6,12.8,4.2,1.8,0.2,5.6,6.05,5.36
Arsenal,2005-04-20 12:00:00,330,1.2,1.0,12.0,6.8,9.8,4.6,0.8,0.2,1.7080000000000002,3.3800000000000003,1.5899999999999999,3.45,1.5699999999999998,3.38,0.6,0.2,8.4,3.0,12.4,5.0,1.8,0.2,5.4,5.65,5.26
Arsenal,2005-08-21 12:00:00,355,1.2,1.0,11.0,6.2,11.4,3.6,1.2,0.2,2.094,3.3200000000000003,2.0100000000000002,3.38,1.97,3.34,0.4,0.0,8.4,3.0,12.8,3.8,1.6,0.2,4.5200000000000005,4.74,4.4399999999999995
