date,team,home_away,GoalsScored,HTGoalsScored,Shots,ShotsOnTarget,Fouls,Corners,YellowCards,RedCards,B365Odds,B365DrawOdds,BWOdds,BWDrawOdds,WHOdds,WHDrawOdds,FullTimeResult,GoalsConceded,HTGoalsConceded,shotsConceded,shotsOnTargetConceded,foulsConceded,cornersConceded,yellowCardsConceded,redCardsConceded,B365OddsAgainst,BWOddsAgainst,WHOddsAgainst
2025-02-03 20:00:00,Chelsea,H,2.0,0.0,22.0,3.0,11.0,4.0,3.0,0.0,1.36,4.75,1.37,5.75,1.36,5.0,H,1.0,1.0,14.0,5.0,10.0,3.0,1.0,0.0,8.0,7.25,7.0
2025-02-02 16:30:00,Arsenal,H,5.0,1.0,12.0,7.0,6.0,5.0,2.0,0.0,1.95,3.5,2.0,3.6,2.0,3.5,H,1.0,0.0,7.0,4.0,7.0,2.0,0.0,0.0,4.0,3.6,3.75
2025-02-02 14:00:00,Man United,H,0.0,0.0,17.0,2.0,12.0,11.0,3.0,0.0,2.0,3.5,2.05,3.5,2.05,3.4,A,2.0,0.0,11.0,3.0,13.0,0.0,1.0,0.0,3.8,3.6,3.6
2025-02-02 14:00:00,Brentford,H,0.0,0.0,20.0,4.0,4.0,10.0,0.0,0.0,2.1,3.9,2.1,3.9,2.1,4.0,A,2.0,1.0,13.0,2.0,11.0,3.0,1.0,0.0,3.2,3.1,3.0
2025-02-01 17:30:00,Wolves,H,2.0,1.0,8.0,5.0,20.0,5.0,2.0,0.0,3.3,3.6,3.4,3.6,3.3,3.6,H,0.0,0.0,10.0,3.0,13.0,8.0,3.0,0.0,2.1,2.1,2.1
2025-02-01 15:00:00,Everton,H,4.0,3.0,13.0,7.0,7.0,5.0,0.0,0.0,1.75,3.75,1.8,3.6,1.8,3.6,H,0.0,0.0,9.0,1.0,13.0,6.0,0.0,0.0,4.5,4.6,4.5
2025-02-01 15:00:00,Bournemouth,H,0.0,0.0,14.0,3.0,15.0,3.0,2.0,0.0,4.5,4.33,4.6,4.2,4.5,4.2,A,2.0,1.0,19.0,7.0,9.0,3.0,3.0,0.0,1.67,1.68,1.67
2025-02-01 15:00:00,Ipswich,H,1.0,1.0,15.0,6.0,11.0,1.0,0.0,0.0,1.95,3.6,1.95,3.6,1.95,3.75,A,2.0,1.0,9.0,4.0,14.0,2.0,3.0,0.0,3.8,3.8,3.6
2025-02-01 15:00:00,Newcastle,H,1.0,1.0,11.0,4.0,10.0,4.0,4.0,0.0,1.7,4.0,1.71,4.0,1.73,4.0,A,2.0,0.0,15.0,4.0,15.0,7.0,4.0,0.0,4.75,4.6,4.4
2025-02-01 12:30:00,Nott'm Forest,H,7.0,3.0,14.0,9.0,8.0,4.0,1.0,0.0,2.38,3.5,2.45,3.5,2.45,3.4,H,0.0,0.0,10.0,5.0,13.0,6.0,3.0,0.0,2.8,2.85,2.88
2025-01-26 19:00:00,Fulham,H,0.0,0.0,9.0,3.0,7.0,3.0,0.0,0.0,2.3,3.4,2.3,3.4,2.3,3.4,A,1.0,0.0,4.0,1.0,9.0,0.0,1.0,0.0,3.1,3.0,3.0
2025-01-26 16:30:00,Aston Villa,H,1.0,1.0,14.0,4.0,13.0,4.0,2.0,0.0,1.53,4.33,1.55,4.33,1.57,4.2,D,1.0,0.0,14.0,4.0,16.0,3.0,3.0,0.0,5.75,5.75,5.5
2025-01-26 14:00:00,Tottenham,H,1.0,1.0,15.0,6.0,6.0,6.0,1.0,0.0,1.45,5.5,1.44,5.25,1.44,5.0,A,2.0,0.0,12.0,3.0,16.0,4.0,5.0,0.0,5.5,6.25,5.8
2025-01-26 14:00:00,Crystal Palace,H,1.0,0.0,16.0,5.0,8.0,4.0,2.0,0.0,2.05,3.75,2.05,3.7,2.05,3.6,A,2.0,0.0,13.0,6.0,11.0,7.0,2.0,0.0,3.3,3.4,3.5
2025-01-25 17:30:00,Man City,H,3.0,1.0,15.0,6.0,6.0,2.0,3.0,0.0,2.05,4.0,1.98,4.0,2.0,4.0,H,1.0,1.0,10.0,4.0,8.0,4.0,2.0,0.0,3.3,3.4,3.25
2025-01-25 15:00:00,Wolves,H,0.0,0.0,9.0,4.0,20.0,1.0,0.0,1.0,7.0,4.5,6.75,4.75,6.5,4.5,A,1.0,0.0,9.0,3.0,10.0,5.0,1.0,1.0,1.45,1.46,1.44
2025-01-25 15:00:00,Southampton,H,1.0,1.0,12.0,5.0,10.0,3.0,1.0,0.0,6.5,5.25,6.75,5.25,6.5,4.8,A,3.0,2.0,17.0,9.0,5.0,8.0,0.0,0.0,1.42,1.41,1.44
2025-01-25 15:00:00,Liverpool,H,4.0,3.0,16.0,6.0,10.0,3.0,0.0,0.0,1.08,12.0,1.11,11.0,1.12,10.0,H,1.0,0.0,3.0,3.0,11.0,4.0,2.0,0.0,15.0,20.0,19.0
2025-01-25 15:00:00,Brighton,H,0.0,0.0,16.0,1.0,8.0,9.0,3.0,0.0,1.67,3.75,1.65,4.0,1.65,3.9,A,1.0,1.0,3.0,1.0,11.0,1.0,4.0,0.0,5.5,5.25,5.0
