team,date,match_id,team_1_Average_goals_scored_last5,team_1_Average_HT_goals_scored_last5,team_1_Average_shots_last5,team_1_Average_shots_on_target_last5,team_1_Average_fouls_last5,team_1_Average_corners_last5,team_1_Average_yellow_cards_last5,team_1_Average_red_cards_last5,team_1_Average_B365_odds_last5,team_1_Average_B365_draw_odds_last5,team_1_Average_BW_odds_last5,team_1_Average_BW_draw_odds_last5,team_1_Average_WH_odds_last5,team_1_Average_WH_draw_odds_last5,team_1_Average_goals_conceded_last5,team_1_Average_HT_goals_conceded_last5,team_1_Average_shots_conceded_last5,team_1_Average_shots_on_target_conceded_last5,team_1_Average_fouls_conceded_last5,team_1_Average_corners_conceded_last5,team_1_Average_yellow_cards_conceded_last5,team_1_Average_red_cards_conceded_last5,team_1_Average_B365_odds_against_last5,team_1_Average_BW_odds_against_last5,team_1_Average_WH_odds_against_last5
Arsenal,2004-08-22 12:00:00,19,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,2004-08-25 12:00:00,23,5.0,1.0,16.0,11.0,8.0,7.0,1.0,0.0,1.36,4.33,1.35,4.0,1.33,4.0,3.0,1.0,9.0,5.0,14.0,5.0,1.0,0.0,9.0,9.0,8.0
Arsenal,2004-09-18 12:00:00,50,4.0,0.5,15.5,10.0,9.5,6.5,1.5,0.0,1.32,4.665,1.3,4.5,1.275,4.5,1.5,0.5,6.0,2.5,16.0,5.0,2.5,0.0,9.5,9.5,8.75
Arsenal,2004-10-02 12:00:00,70,3.3333333333333335,0.6666666666666666,14.0,8.666666666666666,10.666666666666666,5.333333333333333,1.3333333333333333,0.0,1.2966666666666666,4.776666666666666,1.3,4.5,1.25,4.666666666666667,1.6666666666666667,0.3333333333333333,6.666666666666667,3.3333333333333335,16.333333333333332,6.0,2.6666666666666665,0.0,10.666666666666666,9.333333333333334,9.5
Arsenal,2004-10-16 12:00:00,80,3.5,0.75,14.25,8.75,11.25,5.5,1.75,0.0,1.2925,4.8325,1.275,4.75,1.2425,4.75,1.25,0.25,6.0,2.5,16.0,4.75,2.25,0.0,10.5,9.875,9.5
Arsenal,2004-10-30 12:00:00,100,3.4,1.0,15.0,10.0,11.2,5.6,1.8,0.0,1.294,4.866,1.28,4.7,1.25,4.6659999999999995,1.2,0.4,5.8,2.4,17.2,4.4,2.6,0.0,10.3,9.7,9.3
Arsenal,2004-11-20 12:00:00,130,2.8,0.8,14.6,9.6,11.2,5.6,1.8,0.0,1.254,5.3,1.24,5.2,1.216,4.965999999999999,1.0,0.2,5.4,2.2,18.6,4.8,3.2,0.0,11.5,10.5,10.1
Arsenal,2004-12-04 12:00:00,150,2.4,0.8,13.8,8.6,10.8,6.8,1.4,0.0,1.23,5.6,1.23,5.25,1.204,5.066,1.2,0.2,5.6,2.6,17.4,4.4,2.6,0.0,12.5,11.1,10.6
Arsenal,2004-12-12 12:00:00,167,2.6,0.8,13.0,8.2,9.6,7.0,1.2,0.0,1.246,5.5,1.23,5.25,1.22,4.965999999999999,0.8,0.2,4.4,1.8,17.0,3.2,2.2,0.0,11.8,11.1,10.0
Arsenal,2004-12-26 12:00:00,181,2.2,1.0,12.0,7.4,9.2,6.6,0.8,0.0,1.49,5.12,1.44,4.779999999999999,1.436,4.566,1.2,0.4,5.6,2.8,17.4,4.2,2.6,0.0,10.36,9.39,8.66
Arsenal,2005-01-04 12:00:00,215,2.0,0.8,10.6,6.0,9.4,6.8,0.6,0.0,1.48,5.12,1.43,4.88,1.424,4.7,1.0,0.2,5.0,2.6,14.8,4.8,2.2,0.0,11.059999999999999,9.59,8.86
Arsenal,2005-01-23 12:00:00,239,1.8,0.8,10.4,6.0,9.8,7.8,1.0,0.0,1.504,4.720000000000001,1.46,4.4799999999999995,1.4419999999999997,4.6,0.8,0.4,4.6,2.6,13.2,4.4,2.0,0.0,9.86,8.790000000000001,8.059999999999999
Arsenal,2005-02-01 12:00:00,241,1.8,1.0,10.8,6.8,11.4,7.6,1.4,0.0,1.56,4.220000000000001,1.51,4.15,1.4899999999999998,4.2,0.6,0.4,4.6,2.4,14.6,4.0,2.4,0.0,8.36,7.69,7.26
