date,match_id,team,home_away,GoalsScored,HTGoalsScored,Shots,ShotsOnTarget,Fouls,Corners,YellowCards,RedCards,B365Odds,B365DrawOdds,BWOdds,BWDrawOdds,WHOdds,WHDrawOdds,FullTimeResult,GoalsConceded,HTGoalsConceded,shotsConceded,shotsOnTargetConceded,foulsConceded,cornersConceded,yellowCardsConceded,redCardsConceded,B365OddsAgainst,BWOddsAgainst,WHOddsAgainst
2004-08-15 12:00:00,10,Arsenal,A,4.0,2.0,18.0,14.0,19.0,7.0,1.0,0.0,1.61,3.4,1.7,3.4,1.61,3.1,3,1.0,0.0,9.0,5.0,14.0,0.0,2.0,0.0,6.0,5.0,5.5
2004-08-22 12:00:00,19,Arsenal,H,5.0,1.0,16.0,11.0,8.0,7.0,1.0,0.0,1.36,4.33,1.35,4.0,1.33,4.0,1,3.0,1.0,9.0,5.0,14.0,5.0,1.0,0.0,9.0,9.0,8.0
2004-08-25 12:00:00,23,Arsenal,H,3.0,0.0,15.0,9.0,11.0,6.0,2.0,0.0,1.28,5.0,1.25,5.0,1.22,5.0,1,0.0,0.0,3.0,0.0,18.0,5.0,4.0,0.0,10.0,10.0,9.5
2004-08-28 12:00:00,35,Arsenal,A,4.0,3.0,18.0,15.0,5.0,10.0,1.0,0.0,1.36,4.33,1.45,3.75,1.33,4.0,3,1.0,0.0,5.0,5.0,15.0,4.0,1.0,0.0,9.0,7.0,8.0
2004-09-11 12:00:00,42,Arsenal,A,3.0,0.0,12.0,7.0,10.0,4.0,2.0,0.0,1.533,3.6,1.4,4.0,1.44,3.5,3,0.0,0.0,9.0,7.0,16.0,9.0,2.0,0.0,7.0,7.25,7.0
2004-09-18 12:00:00,50,Arsenal,H,2.0,1.0,11.0,6.0,13.0,3.0,1.0,0.0,1.25,5.0,1.3,4.5,1.2,5.0,2,2.0,0.0,8.0,5.0,17.0,8.0,3.0,0.0,13.0,9.0,11.0
2004-09-25 12:00:00,64,Arsenal,A,1.0,1.0,12.0,9.0,8.0,1.0,0.0,0.0,1.57,3.5,1.55,3.55,1.5,3.4,3,0.0,0.0,11.0,7.0,16.0,8.0,1.0,0.0,6.5,5.65,6.0
2004-10-02 12:00:00,70,Arsenal,H,4.0,1.0,15.0,9.0,13.0,6.0,3.0,0.0,1.28,5.0,1.2,5.5,1.22,5.0,1,0.0,0.0,4.0,0.0,15.0,1.0,1.0,0.0,10.0,11.5,9.5
2004-10-16 12:00:00,80,Arsenal,H,3.0,2.0,18.0,15.0,11.0,6.0,2.0,0.0,1.3,5.0,1.3,4.5,1.28,4.33,1,1.0,1.0,5.0,2.0,22.0,3.0,4.0,0.0,9.5,9.0,8.5
2004-10-24 12:00:00,96,Arsenal,A,0.0,0.0,12.0,6.0,23.0,3.0,3.0,0.0,2.75,3.0,2.7,3.15,2.6,3.1,1,2.0,0.0,11.0,5.0,20.0,3.0,2.0,0.0,2.62,2.4,2.4
2004-10-30 12:00:00,100,Arsenal,H,2.0,0.0,14.0,9.0,8.0,7.0,1.0,0.0,1.16,6.5,1.15,6.5,1.16,5.5,2,2.0,0.0,7.0,4.0,21.0,7.0,4.0,0.0,15.0,13.0,12.0
2004-11-06 12:00:00,112,Arsenal,A,1.0,0.0,19.0,13.0,8.0,8.0,1.0,0.0,1.44,4.0,1.4,4.0,1.36,4.0,2,1.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,7.5,7.25,7.0
2004-11-13 12:00:00,127,Arsenal,A,5.0,1.0,10.0,6.0,9.0,4.0,0.0,0.0,1.72,3.2,1.6,3.4,1.66,3.1,3,4.0,1.0,10.0,7.0,20.0,3.0,3.0,0.0,5.5,5.5,5.0
2004-11-20 12:00:00,130,Arsenal,H,1.0,0.0,11.0,4.0,9.0,12.0,0.0,0.0,1.16,6.5,1.2,5.25,1.16,5.5,2,1.0,0.0,4.0,2.0,12.0,3.0,1.0,0.0,15.0,13.0,12.0
2004-11-28 12:00:00,147,Arsenal,A,1.0,0.0,3.0,2.0,16.0,0.0,2.0,0.0,2.1,3.25,2.1,3.2,2.1,3.1,1,2.0,1.0,11.0,7.0,6.0,6.0,0.0,0.0,3.4,3.2,3.1
2004-12-04 12:00:00,150,Arsenal,H,3.0,1.0,7.0,4.0,7.0,4.0,0.0,0.0,1.33,4.5,1.3,4.5,1.28,4.5,1,0.0,0.0,2.0,1.0,15.0,2.0,1.0,0.0,9.5,9.0,8.0
2004-12-12 12:00:00,167,Arsenal,H,2.0,2.0,10.0,5.0,11.0,4.0,1.0,0.0,2.5,3.1,2.25,3.15,2.3,3.0,2,2.0,1.0,10.0,5.0,17.0,6.0,3.0,0.0,2.8,2.95,2.8
2004-12-19 12:00:00,179,Arsenal,A,1.0,0.0,13.0,5.0,9.0,7.0,1.0,0.0,1.57,3.5,1.6,3.5,1.53,3.5,3,0.0,0.0,11.0,5.0,13.0,5.0,0.0,0.0,6.5,5.25,5.5
2004-12-26 12:00:00,181,Arsenal,H,2.0,1.0,11.0,8.0,12.0,7.0,1.0,0.0,1.25,5.0,1.25,5.0,1.22,5.0,1,0.0,0.0,2.0,1.0,9.0,6.0,2.0,0.0,13.0,10.0,9.5
2004-12-29 12:00:00,200,Arsenal,A,1.0,1.0,13.0,6.0,21.0,8.0,4.0,0.0,1.9,3.5,1.8,3.2,1.8,3.3,3,0.0,0.0,9.0,5.0,10.0,4.0,1.0,0.0,3.75,4.3,3.75
2005-01-01 12:00:00,203,Arsenal,A,3.0,1.0,8.0,5.0,15.0,2.0,1.0,0.0,1.61,3.4,1.45,3.7,1.57,3.3,3,1.0,1.0,7.0,4.0,13.0,1.0,1.0,0.0,6.0,7.0,5.5
2005-01-04 12:00:00,215,Arsenal,H,1.0,0.0,13.0,9.0,10.0,12.0,3.0,0.0,1.28,4.5,1.3,4.5,1.25,5.0,2,1.0,1.0,5.0,4.0,13.0,5.0,3.0,0.0,9.0,9.0,8.0
2005-01-15 12:00:00,222,Arsenal,A,0.0,0.0,11.0,7.0,8.0,7.0,1.0,0.0,1.57,3.5,1.5,3.55,1.5,3.4,1,1.0,1.0,9.0,3.0,8.0,8.0,2.0,0.0,6.5,6.5,6.0
2005-01-23 12:00:00,239,Arsenal,H,1.0,1.0,13.0,8.0,17.0,11.0,2.0,0.0,1.44,4.0,1.45,3.6,1.4,3.5,1,0.0,0.0,4.0,1.0,19.0,1.0,3.0,0.0,7.5,7.5,8.0
2005-02-01 12:00:00,241,Arsenal,H,2.0,2.0,11.0,10.0,20.0,6.0,2.0,0.0,2.25,3.1,2.0,3.2,2.2,3.0,3,4.0,1.0,10.0,9.0,16.0,7.0,4.0,1.0,3.2,3.45,3.0
2005-02-05 12:00:00,251,Arsenal,A,3.0,3.0,15.0,6.0,11.0,2.0,0.0,0.0,1.8,3.4,1.65,3.4,1.61,3.3,3,1.0,0.0,5.0,1.0,13.0,5.0,2.0,0.0,4.5,5.0,5.0
2005-02-14 12:00:00,267,Arsenal,H,5.0,3.0,17.0,12.0,8.0,5.0,1.0,0.0,1.22,5.5,1.25,5.0,1.16,5.5,1,1.0,0.0,6.0,3.0,17.0,1.0,2.0,0.0,13.0,10.0,12.0
2005-02-26 12:00:00,272,Arsenal,A,1.0,1.0,17.0,12.0,13.0,5.0,1.0,1.0,1.57,3.5,1.5,3.5,1.53,3.5,2,1.0,0.0,10.0,3.0,9.0,3.0,1.0,1.0,6.5,6.75,5.5
2005-03-05 12:00:00,277,Arsenal,H,3.0,1.0,11.0,6.0,12.0,7.0,0.0,0.0,1.36,4.33,1.3,4.5,1.3,4.2,1,0.0,0.0,5.0,2.0,15.0,3.0,2.0,0.0,9.0,9.0,8.5
2005-03-19 12:00:00,290,Arsenal,A,1.0,1.0,10.0,8.0,8.0,6.0,1.0,0.0,1.8,3.4,1.65,3.4,1.6,3.4,3,0.0,0.0,9.0,2.0,21.0,4.0,3.0,0.0,4.5,5.0,4.8
2005-04-02 12:00:00,300,Arsenal,H,4.0,2.0,21.0,15.0,8.0,10.0,1.0,0.0,1.2,6.0,1.2,5.5,1.16,5.5,1,1.0,1.0,3.0,1.0,11.0,3.0,0.0,0.0,13.0,12.0,12.0
2005-04-09 12:00:00,314,Arsenal,A,1.0,0.0,7.0,1.0,9.0,3.0,1.0,0.0,1.8,3.1,1.65,3.4,1.61,3.3,3,0.0,0.0,9.0,6.0,11.0,5.0,1.0,0.0,5.0,5.0,5.0
2005-04-20 12:00:00,330,Arsenal,A,0.0,0.0,6.0,4.0,16.0,2.0,3.0,0.0,3.5,3.2,3.6,3.2,3.5,3.2,2,0.0,0.0,9.0,3.0,10.0,2.0,1.0,0.0,2.1,1.95,1.9
2005-08-14 12:00:00,344,Arsenal,H,2.0,0.0,15.0,12.0,15.0,8.0,0.0,0.0,1.4,4.2,1.35,4.0,1.4,3.75,1,0.0,0.0,2.0,1.0,17.0,3.0,1.0,1.0,8.0,9.0,7.0
2005-08-21 12:00:00,355,Arsenal,A,0.0,0.0,9.0,3.0,21.0,7.0,3.0,0.0,3.75,3.2,4.3,3.2,3.75,3.2,1,1.0,0.0,9.0,6.0,17.0,3.0,2.0,0.0,2.0,1.8,1.83
2005-08-24 12:00:00,359,Arsenal,H,4.0,1.0,20.0,14.0,16.0,6.0,5.0,0.0,1.22,5.5,1.25,5.0,1.22,5.0,1,1.0,1.0,8.0,3.0,11.0,7.0,2.0,0.0,13.0,10.0,9.5
2005-09-10 12:00:00,376,Arsenal,A,1.0,0.0,13.0,8.0,16.0,7.0,4.0,0.0,1.72,3.3,1.75,3.3,1.61,3.3,1,2.0,1.0,6.0,5.0,17.0,6.0,3.0,0.0,5.0,4.4,5.0
2005-09-19 12:00:00,391,Arsenal,H,2.0,2.0,11.0,4.0,13.0,4.0,2.0,0.0,1.4,4.0,1.3,4.8,1.33,4.0,1,0.0,0.0,4.0,2.0,19.0,0.0,3.0,0.0,9.0,8.0,8.0
2005-09-24 12:00:00,399,Arsenal,A,0.0,0.0,8.0,2.0,7.0,3.0,0.0,0.0,1.72,3.4,1.65,3.45,1.66,3.3,2,0.0,0.0,6.0,0.0,11.0,4.0,2.0,0.0,5.0,4.85,4.5
2005-10-02 12:00:00,407,Arsenal,H,1.0,0.0,16.0,13.0,13.0,11.0,0.0,0.0,1.33,4.5,1.3,4.8,1.28,4.33,1,0.0,0.0,2.0,2.0,17.0,4.0,1.0,1.0,9.5,8.0,8.5
2005-10-15 12:00:00,417,Arsenal,A,1.0,1.0,14.0,10.0,10.0,6.0,2.0,0.0,1.61,3.4,1.55,3.6,1.5,3.4,1,2.0,1.0,5.0,4.0,23.0,3.0,1.0,0.0,6.0,5.6,6.0
2005-10-22 12:00:00,422,Arsenal,H,1.0,0.0,4.0,2.0,24.0,4.0,3.0,0.0,1.5,3.75,1.4,4.0,1.44,3.25,1,0.0,0.0,7.0,4.0,17.0,3.0,5.0,0.0,7.0,7.25,8.0
2005-10-29 12:00:00,438,Arsenal,A,1.0,0.0,10.0,7.0,13.0,1.0,2.0,0.0,2.5,3.1,2.6,3.1,2.4,2.9,2,1.0,1.0,11.0,3.0,18.0,6.0,4.0,0.0,2.8,2.55,2.75
2005-11-05 12:00:00,442,Arsenal,H,3.0,2.0,12.0,9.0,11.0,4.0,0.0,0.0,1.2,6.0,1.2,5.5,1.14,6.0,1,1.0,0.0,1.0,1.0,13.0,6.0,1.0,0.0,13.0,12.0,12.0
2005-11-19 12:00:00,458,Arsenal,A,3.0,3.0,13.0,8.0,17.0,2.0,3.0,0.0,1.8,3.3,1.8,3.2,1.83,3.0,3,2.0,2.0,11.0,5.0,16.0,2.0,3.0,0.0,4.5,4.25,4.0
2005-11-26 12:00:00,461,Arsenal,H,3.0,2.0,13.0,10.0,9.0,9.0,1.0,0.0,1.36,4.33,1.3,4.8,1.28,4.5,1,0.0,0.0,15.0,9.0,15.0,10.0,2.0,0.0,9.0,8.0,8.0
2005-12-03 12:00:00,473,Arsenal,A,0.0,0.0,8.0,3.0,15.0,3.0,2.0,0.0,1.83,3.3,1.8,3.3,1.72,3.25,1,2.0,2.0,10.0,9.0,16.0,9.0,1.0,0.0,4.33,4.15,4.2
2005-12-10 12:00:00,488,Arsenal,A,0.0,0.0,6.0,3.0,13.0,4.0,1.0,1.0,1.9,3.25,1.9,3.15,1.83,3.2,1,1.0,0.0,8.0,4.0,23.0,5.0,2.0,0.0,4.0,3.9,3.75
2005-12-18 12:00:00,501,Arsenal,H,0.0,0.0,7.0,5.0,13.0,5.0,3.0,0.0,2.87,3.1,2.75,3.05,3.0,2.87,3,2.0,1.0,11.0,8.0,18.0,5.0,4.0,0.0,2.5,2.45,2.25
2005-12-26 12:00:00,504,Arsenal,A,1.0,0.0,18.0,11.0,10.0,10.0,2.0,0.0,1.72,3.4,1.7,3.35,1.57,3.3,3,0.0,0.0,8.0,0.0,16.0,4.0,3.0,1.0,5.0,4.65,5.5
2005-12-28 12:00:00,513,Arsenal,H,4.0,4.0,6.0,4.0,12.0,3.0,0.0,0.0,1.22,5.5,1.2,5.5,1.22,5.0,1,0.0,0.0,6.0,4.0,13.0,1.0,1.0,0.0,13.0,12.0,9.5
2005-12-31 12:00:00,520,Arsenal,A,0.0,0.0,10.0,3.0,11.0,1.0,1.0,0.0,1.61,3.6,1.7,3.2,1.66,3.3,2,0.0,0.0,11.0,5.0,19.0,10.0,1.0,0.0,5.5,5.0,4.5
2006-01-03 12:00:00,538,Arsenal,H,0.0,0.0,8.0,5.0,17.0,6.0,2.0,0.0,2.62,3.1,2.35,3.1,2.5,3.1,2,0.0,0.0,16.0,6.0,13.0,9.0,3.0,0.0,2.75,2.85,2.5
2006-01-14 12:00:00,540,Arsenal,H,7.0,4.0,24.0,17.0,12.0,4.0,1.0,0.0,1.33,4.33,1.3,4.75,1.33,4.0,1,0.0,0.0,5.0,2.0,14.0,6.0,2.0,1.0,8.0,8.0,8.0
2006-01-21 12:00:00,552,Arsenal,A,0.0,0.0,14.0,5.0,17.0,6.0,2.0,1.0,1.66,3.5,1.65,3.3,1.7,3.2,1,1.0,1.0,9.0,3.0,19.0,5.0,4.0,0.0,5.5,5.15,4.5
2006-02-01 12:00:00,564,Arsenal,H,2.0,1.0,16.0,10.0,6.0,12.0,1.0,0.0,1.4,4.33,1.35,4.0,1.28,4.5,3,3.0,2.0,4.0,4.0,15.0,2.0,1.0,0.0,7.5,9.0,8.0
2006-02-04 12:00:00,570,Arsenal,A,2.0,1.0,9.0,6.0,21.0,6.0,3.0,0.0,2.1,3.2,1.85,3.2,1.9,3.2,3,0.0,0.0,13.0,5.0,18.0,6.0,2.0,1.0,3.5,4.0,3.5
2006-02-11 12:00:00,581,Arsenal,H,1.0,0.0,16.0,10.0,14.0,8.0,2.0,0.0,1.5,4.0,1.45,3.7,1.53,3.5,2,1.0,1.0,5.0,3.0,12.0,6.0,2.0,0.0,6.0,7.0,5.5
2006-02-14 12:00:00,591,Arsenal,A,0.0,0.0,6.0,2.0,15.0,1.0,1.0,0.0,3.6,3.1,3.8,3.0,3.4,3.0,1,1.0,0.0,22.0,9.0,12.0,13.0,0.0,0.0,2.1,2.0,2.0
2006-02-25 12:00:00,596,Arsenal,A,0.0,0.0,10.0,3.0,10.0,5.0,2.0,0.0,2.25,3.25,2.2,3.1,2.25,3.2,1,1.0,1.0,6.0,2.0,23.0,3.0,3.0,0.0,3.1,3.1,2.75
2006-03-04 12:00:00,604,Arsenal,A,4.0,2.0,18.0,11.0,15.0,7.0,1.0,0.0,2.2,3.25,2.1,3.1,2.2,3.1,3,0.0,0.0,7.0,4.0,11.0,0.0,0.0,0.0,3.2,3.3,2.87
2006-03-12 12:00:00,620,Arsenal,H,2.0,1.0,11.0,4.0,8.0,5.0,0.0,0.0,2.25,3.2,2.25,3.1,2.2,3.0,1,1.0,0.0,8.0,3.0,18.0,0.0,2.0,1.0,3.1,3.0,3.0
2006-03-18 12:00:00,624,Arsenal,H,3.0,2.0,16.0,9.0,6.0,8.0,0.0,0.0,1.3,4.5,1.35,4.1,1.28,4.5,1,0.0,0.0,2.0,1.0,10.0,1.0,1.0,0.0,9.5,8.0,8.0
2006-04-01 12:00:00,644,Arsenal,H,5.0,2.0,20.0,16.0,9.0,8.0,0.0,0.0,1.28,5.0,1.3,4.75,1.3,4.2,1,0.0,0.0,9.0,4.0,11.0,8.0,1.0,0.0,10.0,8.35,8.5
2006-04-09 12:00:00,662,Arsenal,A,0.0,0.0,10.0,3.0,16.0,3.0,1.0,0.0,3.5,3.2,3.8,3.2,3.6,3.1,1,2.0,0.0,14.0,8.0,16.0,5.0,3.0,0.0,2.1,1.9,1.9
2006-04-12 12:00:00,664,Arsenal,A,1.0,1.0,9.0,3.0,9.0,10.0,1.0,0.0,1.66,3.6,1.6,3.5,1.66,3.4,2,1.0,0.0,10.0,4.0,9.0,3.0,1.0,0.0,5.0,5.15,4.33
2006-04-15 12:00:00,666,Arsenal,H,3.0,1.0,16.0,10.0,8.0,5.0,2.0,0.0,1.22,5.5,1.23,5.0,1.25,4.5,1,1.0,0.0,8.0,1.0,6.0,1.0,1.0,0.0,13.0,11.0,10.0
